adm1,adm2,year,malaria_incidence_per_1000_corrected,population_new
Central River,Janjanbureh,2020,84.42330558858502,4205
Central River,Lower Fuladu West,2020,10.749074826917633,47166.85
Central River,Lower Saloum,2020,17.640759736234006,17743
Central River,Niamina Dankunku,2020,19.108280254777068,6751
Central River,Niamina East,2020,3.146516621011328,27014
Central River,Niamina West,2020,9.71608832807571,7925
Central River,Niani,2020,11.118960592192156,32557
Central River,Nianija,2020,8.198166431593794,11344
Central River,Sami,2020,37.65899671287694,27988
Central River,Upper Fuladu West,2020,59.806554655501266,53188.15
Central River,Upper Saloum,2020,1.538533264954077,21449
Lower River,Jarra Central,2020,38.59726510807234,9068
Lower River,Jarra East,2020,67.0109007458405,17430
Lower River,Jarra West,2020,15.44022177773099,28497
Lower River,Kiang Central,2020,21.34891131173659,9415
Lower River,Kiang East,2020,14.608413363992966,7393
Lower River,Kiang West,2020,5.33906106167536,16295
North Bank East,Central Badibu,2020,2.737821042110295,23011
North Bank East,Lower Badibu,2020,3.1596321622258903,21205
North Bank East,Sabach Sanjar,2020,2.6416306714739584,28013
North Bank East,Upper Badibu,2020,5.209059233449477,57400
North Bank West,Jokadu,2020,3.302835883223872,26341
North Bank West,Lower Niumi,2020,1.8249799697320395,67398
North Bank West,Upper Niumi,2020,2.742957456729846,36457
Upper River,Basse,2020,77.28827403134413,58767
Upper River,Jimara,2020,222.47428626357782,52015
Upper River,Kantora,2020,196.10918676339236,45903
Upper River,Sandu,2020,62.01440881480435,28316
Upper River,Tumana,2020,4.468997731815222,44529
Upper River,Wuli East,2020,133.65653420149334,28259
Upper River,Wuli West,2020,103.0548962560294,26122
Western 1,Banjul,2020,5.151026701240451,28538
Western 1,Kanifing,2020,23.435479469931547,421455
Western 1,Kombo North,2020,14.460104782788598,500273
Western 2,Foni Bintang Karanai,2020,2.73429760253616,25235
Western 2,Foni Bondali,2020,8.951750067138127,11171
Western 2,Foni Brefet,2020,4.157324364723468,21408
Western 2,Foni Jarrol,2020,39.42440370589395,10146
Western 2,Foni Kansala,2020,76.69772356161752,20822
Western 2,Kombo Central,2020,20.521664987210293,206416
Western 2,Kombo East,2020,13.093368377191576,62398
Western 2,Kombo South,2020,32.00681050036848,157404
Central River,Janjanbureh,2021,65.37019681349578,4268
Central River,Lower Fuladu West,2021,12.233153996397833,48393.079999999994
Central River,Lower Saloum,2021,29.618168757252583,18097
Central River,Niamina Dankunku,2021,15.90776415645067,6852
Central River,Niamina East,2021,4.558882526715052,27419
Central River,Niamina West,2021,8.453505718547987,8044
Central River,Niani,2021,17.134425439653096,33208
Central River,Nianija,2021,11.062138103880391,11571
Central River,Sami,2021,22.033838932287104,28547
Central River,Upper Fuladu West,2021,38.62863224589213,54570.920000000006
Central River,Upper Saloum,2021,2.55964896242801,21878
Lower River,Jarra Central,2021,73.44448076713522,9177
