adm1,adm2,year,total_pop
Central River,Janjanbureh,2017,4022
Central River,Janjanbureh,2018,4082
Central River,Janjanbureh,2019,4143
Central River,Janjanbureh,2020,4205
Central River,Janjanbureh,2021,4268
Central River,Janjanbureh,2022,4332
Central River,Janjanbureh,2023,4397
Central River,Janjanbureh,2024,4463
Central River,Janjanbureh,2025,4530
Central River,Lower Fuladu West,2017,43671
Central River,Lower Fuladu West,2018,44807
Central River,Lower Fuladu West,2019,45972
Central River,Lower Fuladu West,2020,47167
Central River,Lower Fuladu West,2021,48393
Central River,Lower Fuladu West,2022,49651
Central River,Lower Fuladu West,2023,50942
Central River,Lower Fuladu West,2024,52267
Central River,Lower Fuladu West,2025,53626
Central River,Lower Saloum,2017,16719
Central River,Lower Saloum,2018,17054
Central River,Lower Saloum,2019,17395
Central River,Lower Saloum,2020,17743
Central River,Lower Saloum,2021,18097
Central River,Lower Saloum,2022,18459
Central River,Lower Saloum,2023,18829
Central River,Lower Saloum,2024,19205
Central River,Lower Saloum,2025,19589
Central River,Niamina Dankunku,2017,6456
Central River,Niamina Dankunku,2018,6553
Central River,Niamina Dankunku,2019,6651
Central River,Niamina Dankunku,2020,6751
Central River,Niamina Dankunku,2021,6852
Central River,Niamina Dankunku,2022,6955
Central River,Niamina Dankunku,2023,7060
Central River,Niamina Dankunku,2024,7165
Central River,Niamina Dankunku,2025,7273
Central River,Niamina East,2017,25834
Central River,Niamina East,2018,26221
Central River,Niamina East,2019,26614
Central River,Niamina East,2020,27014
Central River,Niamina East,2021,27419
Central River,Niamina East,2022,27830
Central River,Niamina East,2023,28248
Central River,Niamina East,2024,28671
Central River,Niamina East,2025,29101
Central River,Niamina West,2017,7579
Central River,Niamina West,2018,7693
Central River,Niamina West,2019,7808
Central River,Niamina West,2020,7925
Central River,Niamina West,2021,8044
Central River,Niamina West,2022,8165
Central River,Niamina West,2023,8287
Central River,Niamina West,2024,8412
Central River,Niamina West,2025,8538
Central River,Niani,2017,30679
Central River,Niani,2018,31293
Central River,Niani,2019,31919
Central River,Niani,2020,32557
Central River,Niani,2021,33208
Central River,Niani,2022,33873
Central River,Niani,2023,34550
Central River,Niani,2024,35241
Central River,Niani,2025,35946
Central River,Nianija,2017,10690
Central River,Nianija,2018,10904
Central River,Nianija,2019,11122
Central River,Nianija,2020,11344
Central River,Nianija,2021,11571
Central River,Nianija,2022,11803
Central River,Nianija,2023,12039
Central River,Nianija,2024,12280
Central River,Nianija,2025,12525
Central River,Sami,2017,26373
Central River,Sami,2018,26901
Central River,Sami,2019,27439
Central River,Sami,2020,27988
Central River,Sami,2021,28547
Central River,Sami,2022,29118
Central River,Sami,2023,29701
Central River,Sami,2024,30295
Central River,Sami,2025,30901
Central River,Upper Fuladu West,2017,49247
Central River,Upper Fuladu West,2018,50526
Central River,Upper Fuladu West,2019,51840
Central River,Upper Fuladu West,2020,53188
Central River,Upper Fuladu West,2021,54571
Central River,Upper Fuladu West,2022,55990
Central River,Upper Fuladu West,2023,57446
Central River,Upper Fuladu West,2024,58939
Central River,Upper Fuladu West,2025,60472
Central River,Upper Saloum,2017,20212
Central River,Upper Saloum,2018,20617
Central River,Upper Saloum,2019,21029
Central River,Upper Saloum,2020,21449
Central River,Upper Saloum,2021,21878
Central River,Upper Saloum,2022,22316
Central River,Upper Saloum,2023,22762
Central River,Upper Saloum,2024,23218
Central River,Upper Saloum,2025,23682
Lower River,Jarra Central,2017,8750
Lower River,Jarra Central,2018,8855
Lower River,Jarra Central,2019,8961
Lower River,Jarra Central,2020,9068
Lower River,Jarra Central,2021,9177
Lower River,Jarra Central,2022,9287
Lower River,Jarra Central,2023,9399
Lower River,Jarra Central,2024,9512
Lower River,Jarra Central,2025,9626
Lower River,Jarra East,2017,16818
Lower River,Jarra East,2018,17019
Lower River,Jarra East,2019,17224
Lower River,Jarra East,2020,17430
Lower River,Jarra East,2021,17639
Lower River,Jarra East,2022,17851
Lower River,Jarra East,2023,18065
Lower River,Jarra East,2024,18282
Lower River,Jarra East,2025,18502
Lower River,Jarra West,2017,27495
Lower River,Jarra West,2018,27825
Lower River,Jarra West,2019,28159
Lower River,Jarra West,2020,28497
Lower River,Jarra West,2021,28839
Lower River,Jarra West,2022,29185
Lower River,Jarra West,2023,29535
Lower River,Jarra West,2024,29890
Lower River,Jarra West,2025,30248
Lower River,Kiang Central,2017,9084
Lower River,Kiang Central,2018,9193
Lower River,Kiang Central,2019,9304
Lower River,Kiang Central,2020,9415
Lower River,Kiang Central,2021,9528
Lower River,Kiang Central,2022,9643
Lower River,Kiang Central,2023,9758
Lower River,Kiang Central,2024,9875
Lower River,Kiang Central,2025,9994
Lower River,Kiang East,2017,7133
Lower River,Kiang East,2018,7219
Lower River,Kiang East,2019,7306
Lower River,Kiang East,2020,7393
Lower River,Kiang East,2021,7482
Lower River,Kiang East,2022,7572
Lower River,Kiang East,2023,7663
Lower River,Kiang East,2024,7755
Lower River,Kiang East,2025,7848
Lower River,Kiang West,2017,15723
Lower River,Kiang West,2018,15911
Lower River,Kiang West,2019,16102
Lower River,Kiang West,2020,16295
Lower River,Kiang West,2021,16491
Lower River,Kiang West,2022,16689
Lower River,Kiang West,2023,16889
Lower River,Kiang West,2024,17092
Lower River,Kiang West,2025,17297
North Bank East,Central Badibu,2017,21431
North Bank East,Central Badibu,2018,21945
North Bank East,Central Badibu,2019,22472
North Bank East,Central Badibu,2020,23011
North Bank East,Central Badibu,2021,23563
